"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene"
-1.75866504895905,10.8057693993757,-17.8397547100046,1.38754575811651e-39,3.39743990872594e-37,79.4882729855148,"232215_x_at"
-2.67496028278916,12.6162610936524,-17.7863711645316,1.90233186966984e-39,4.58277883957882e-37,79.175034592519,"214722_at"
-2.31838878488087,10.5523969683663,-17.7372267887956,2.54429757294582e-39,6.03200453166964e-37,78.8863783422786,"235138_at"
-2.79131449030951,10.1534628543184,-17.6393887488425,4.54284311494251e-39,1.06018601194971e-36,78.3108837186772,"213939_s_at"
-2.3106707805994,8.65730922622268,-17.6355908477031,4.6463305440114e-39,1.06765527700545e-36,78.2885218446045,"242369_x_at"
-3.26992039938556,9.85006750156087,-17.5558295125612,7.45962148463705e-39,1.68813494688695e-36,77.8185093719387,"242343_x_at"
-7.83565616802301,13.7629693390219,-17.5331206508664,8.53713014982019e-39,1.90314292414499e-36,77.6845592999891,"224795_x_at"
-7.35252779906527,13.0035622651405,-17.4920281111412,1.08994786596152e-38,2.3940384302943e-36,77.4420225985663,"202310_s_at"
-7.70204427136647,13.5382266551509,-17.4758449748755,1.20008022224939e-38,2.59773886949521e-36,77.3464538007736,"201852_x_at"
-2.85895527666111,9.22669791987513,-17.4468181057212,1.42634558100203e-38,3.04341394254948e-36,77.1749626528345,"244803_at"
-6.18390817903716,12.866285808949,-17.4190227046247,1.68304187098844e-38,3.54055118099765e-36,77.0106578494514,"200665_s_at"
-2.5524303571592,8.52345922351717,-17.3702185017938,2.25100952689683e-38,4.66959420746265e-36,76.7219548598925,"217164_at"
-2.1384506859496,9.33712209864724,-17.3366759045986,2.74938927777306e-38,5.62532578805731e-36,76.52337740486,"215373_x_at"
-3.19569093966729,9.28487791009365,-17.3077819921386,3.26663444793575e-38,6.59330433977951e-36,76.3522199597264,"1562062_at"
-2.11717486684969,10.6400224917794,-17.2504404046165,4.60035135969954e-38,9.16144638779631e-36,76.0122727250649,"215604_x_at"
-2.26255201925025,8.28105567096774,-17.2089567487224,5.894654358288e-38,1.15845470388671e-35,75.7661108780639,"242068_at"
-2.3347912734255,9.62518015379813,-17.1709161890405,7.4005005620346e-38,1.43550488824089e-35,75.5402128551035,"233056_x_at"
-7.82703122727718,13.8614362638918,-17.1058795615824,1.09229234102564e-37,2.09159979558448e-35,75.1536336839263,"221651_x_at"
-3.03807213586299,9.00727472174818,-17.1005886956474,1.12746344617843e-37,2.13161949773685e-35,75.122164238928,"242143_at"
-2.48355477991306,10.0226625739854,-17.0109998686696,1.92910745810989e-37,3.60164362429116e-35,74.5888364307054,"234762_x_at"
-4.14030075425695,11.2705150778356,-16.9809304077745,2.31062398496679e-37,4.26067652339062e-35,74.4096354529216,"213605_s_at"
-2.42199725309671,9.94328352424558,-16.9446820672887,2.87251605412825e-37,5.23218290054385e-35,74.1934810111447,"232597_x_at"
-2.28423533313724,9.60495971779396,-16.9362042488563,3.02260087590971e-37,5.43922490151655e-35,74.1429060176919,"242403_at"
-6.86833336428408,12.4978980511967,-16.9252588067463,3.22806296381166e-37,5.73980338422511e-35,74.0775988033124,"201438_at"
-2.44071056963101,9.00684732924037,-16.7808819403842,7.69477388889001e-37,1.35210756240543e-34,73.2149575191645,"215281_x_at"
-7.80141681589698,13.7837899975026,-16.7481971021534,9.36985083375594e-37,1.62730339596487e-34,73.0193602916944,"221671_x_at"
-1.87777901439684,11.4407121379813,-16.7090971491569,1.18610047597808e-36,2.03627548381708e-34,72.7852247937207,"219392_x_at"
-3.28801458064516,9.31956342497399,-16.6290505425004,1.92286833946723e-36,3.26363199071392e-34,72.3053954365361,"235028_at"
-1.92207248990097,8.99509673735692,-16.5678383535794,2.78355466026923e-36,4.67136768604284e-34,71.9380164615679,"214902_x_at"
-6.02200158710005,10.8232868884495,-16.5558670272544,2.99252461407949e-36,4.96626084843237e-34,71.8661224727227,"202450_s_at"
-7.13013903941563,11.3285707943809,-16.5266560714627,3.57088140538814e-36,5.86095435943707e-34,71.6906336352179,"213975_s_at"
-2.73162444313168,9.35731420541103,-16.4964647247591,4.28675035485246e-36,6.95944601087786e-34,71.5091628343315,"1562063_x_at"
-7.24743669670229,12.1628037277836,-16.470121367323,5.02805386172209e-36,8.07516263211626e-34,71.3507448707624,"201893_x_at"
-2.65444612504494,8.79548332757544,-16.454073482694,5.54132834187623e-36,8.80481703343227e-34,71.2542048738883,"243003_at"
-2.82133058443638,8.08313693257024,-16.4347360253087,6.23011449821276e-36,9.79505159424271e-34,71.1378408210139,"233867_at"
-2.14005268892375,8.35450850135276,-16.3537741934866,1.01790072752814e-35,1.58368388191253e-33,70.6502380780831,"241865_at"
-2.71055055033173,9.66830396836628,-16.2805101304739,1.58813365546541e-35,2.44539837917849e-33,70.2084284714155,"228105_at"
-2.55529465705788,8.83634472029136,-16.2223007574971,2.26222793060062e-35,3.44782003790314e-33,69.8570235507166,"242646_at"
